State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,City,Zipcode,Address,Price,Status,Listing URL
TX,2 bds,4 ba,1554 sqft,9408 sqft,1982,Los Angeles,97442,"4360 Maple Dr, Los Angeles, TX 97442","$1,173,697",Pending,https://www.zillow.com/homedetails/59228209_zpid/
IL,2 bds,2 ba,982 sqft,7527 sqft,1983,Los Angeles,12888,"8332 Oak Ave, Los Angeles, IL 12888","$980,716",Sold,https://www.zillow.com/homedetails/80136408_zpid/
NY,4 bds,4 ba,3164 sqft,9694 sqft,1955,Los Angeles,63443,"4702 Pine Rd, Los Angeles, NY 63443","$527,238",Pending,https://www.zillow.com/homedetails/10224527_zpid/
IL,5 bds,3 ba,635 sqft,1130 sqft,1990,Fresno,38811,"1993 Maple Dr, Fresno, IL 38811","$1,469,257",Pending,https://www.zillow.com/homedetails/49182882_zpid/
TX,4 bds,4 ba,2966 sqft,2421 sqft,1997,San Francisco,33081,"9953 Maple Dr, San Francisco, TX 33081","$1,381,949",Sold,https://www.zillow.com/homedetails/28976445_zpid/
FL,6 bds,3 ba,3814 sqft,2093 sqft,1957,Sacramento,16851,"3530 Oak Ave, Sacramento, FL 16851","$898,597",Sold,https://www.zillow.com/homedetails/85797272_zpid/
IL,2 bds,4 ba,1583 sqft,6306 sqft,1979,Los Angeles,31581,"8606 Main St, Los Angeles, IL 31581","$1,335,481",For Sale,https://www.zillow.com/homedetails/73771597_zpid/
CA,6 bds,3 ba,743 sqft,8853 sqft,2018,San Diego,73665,"517 Elm St, San Diego, CA 73665","$1,444,036",Sold,https://www.zillow.com/homedetails/87129932_zpid/
CA,4 bds,3 ba,1165 sqft,3128 sqft,1954,Sacramento,45375,"982 Oak Ave, Sacramento, CA 45375","$831,525",For Sale,https://www.zillow.com/homedetails/87871884_zpid/
NY,3 bds,2 ba,908 sqft,1492 sqft,1963,Los Angeles,25618,"7675 Maple Dr, Los Angeles, NY 25618","$911,317",Sold,https://www.zillow.com/homedetails/28093606_zpid/
FL,2 bds,2 ba,1475 sqft,1926 sqft,1983,San Francisco,11309,"1580 Elm St, San Francisco, FL 11309","$858,386",Sold,https://www.zillow.com/homedetails/97041337_zpid/
CA,6 bds,1 ba,3892 sqft,4133 sqft,1985,Sacramento,74703,"8382 Main St, Sacramento, CA 74703","$705,506",Pending,https://www.zillow.com/homedetails/11583738_zpid/
NY,1 bds,3 ba,3156 sqft,2935 sqft,1961,San Diego,19858,"1193 Oak Ave, San Diego, NY 19858","$1,461,297",Sold,https://www.zillow.com/homedetails/53525900_zpid/
IL,1 bds,4 ba,1752 sqft,3040 sqft,1993,San Diego,93752,"4020 Elm St, San Diego, IL 93752","$630,339",For Sale,https://www.zillow.com/homedetails/67849427_zpid/
CA,6 bds,4 ba,3778 sqft,3988 sqft,2012,Los Angeles,61325,"7473 Maple Dr, Los Angeles, CA 61325","$268,142",For Sale,https://www.zillow.com/homedetails/97057722_zpid/
NY,3 bds,4 ba,3551 sqft,1230 sqft,1961,San Francisco,44242,"4820 Pine Rd, San Francisco, NY 44242","$1,250,016",For Sale,https://www.zillow.com/homedetails/28415062_zpid/
CA,1 bds,3 ba,3640 sqft,9593 sqft,2008,San Diego,65902,"345 Elm St, San Diego, CA 65902","$1,231,600",Sold,https://www.zillow.com/homedetails/60421528_zpid/
NY,6 bds,1 ba,1396 sqft,7815 sqft,1989,San Diego,70313,"5156 Maple Dr, San Diego, NY 70313","$1,073,723",For Sale,https://www.zillow.com/homedetails/11216378_zpid/
FL,2 bds,4 ba,3442 sqft,3651 sqft,1952,Los Angeles,59381,"9323 Maple Dr, Los Angeles, FL 59381","$1,353,530",Pending,https://www.zillow.com/homedetails/86551568_zpid/
CA,3 bds,3 ba,3641 sqft,9671 sqft,1988,San Diego,22610,"9346 Pine Rd, San Diego, CA 22610","$272,592",For Sale,https://www.zillow.com/homedetails/79022078_zpid/
NY,5 bds,4 ba,824 sqft,5426 sqft,2008,Los Angeles,89328,"5261 Pine Rd, Los Angeles, NY 89328","$1,401,287",For Sale,https://www.zillow.com/homedetails/10948760_zpid/
FL,4 bds,4 ba,3704 sqft,2027 sqft,1960,San Diego,57088,"9841 Main St, San Diego, FL 57088","$255,138",For Sale,https://www.zillow.com/homedetails/15020408_zpid/
FL,4 bds,2 ba,3150 sqft,8121 sqft,1968,San Francisco,35239,"5061 Main St, San Francisco, FL 35239","$235,690",For Sale,https://www.zillow.com/homedetails/70627429_zpid/
CA,2 bds,1 ba,1130 sqft,9652 sqft,2008,San Diego,66947,"8009 Main St, San Diego, CA 66947","$1,286,157",Pending,https://www.zillow.com/homedetails/80814732_zpid/
CA,4 bds,1 ba,2418 sqft,4843 sqft,1978,Sacramento,70379,"9066 Pine Rd, Sacramento, CA 70379","$1,197,675",For Sale,https://www.zillow.com/homedetails/64623224_zpid/
IL,6 bds,1 ba,641 sqft,6571 sqft,1998,San Diego,37297,"2635 Main St, San Diego, IL 37297","$130,113",Pending,https://www.zillow.com/homedetails/89838030_zpid/
FL,6 bds,4 ba,692 sqft,8938 sqft,1996,San Francisco,71862,"9343 Main St, San Francisco, FL 71862","$327,247",Pending,https://www.zillow.com/homedetails/26155023_zpid/
NY,2 bds,2 ba,1718 sqft,4766 sqft,1993,Sacramento,54468,"3200 Maple Dr, Sacramento, NY 54468","$1,253,172",For Sale,https://www.zillow.com/homedetails/75249158_zpid/
CA,3 bds,1 ba,1515 sqft,1817 sqft,2013,San Diego,40064,"9129 Elm St, San Diego, CA 40064","$947,261",Sold,https://www.zillow.com/homedetails/53072925_zpid/
FL,2 bds,3 ba,3201 sqft,6981 sqft,2014,Sacramento,54502,"1644 Oak Ave, Sacramento, FL 54502","$928,085",Pending,https://www.zillow.com/homedetails/80963474_zpid/
CA,4 bds,2 ba,806 sqft,5870 sqft,1990,Fresno,26896,"8001 Elm St, Fresno, CA 26896","$1,075,059",Pending,https://www.zillow.com/homedetails/27244920_zpid/
TX,2 bds,2 ba,2192 sqft,2491 sqft,2022,San Francisco,39228,"9681 Maple Dr, San Francisco, TX 39228","$704,012",For Sale,https://www.zillow.com/homedetails/91736373_zpid/
NY,1 bds,1 ba,2983 sqft,6389 sqft,1975,Los Angeles,25964,"850 Maple Dr, Los Angeles, NY 25964","$894,851",For Sale,https://www.zillow.com/homedetails/56149044_zpid/
FL,2 bds,4 ba,1143 sqft,3561 sqft,2006,San Diego,61792,"385 Maple Dr, San Diego, FL 61792","$1,062,706",Pending,https://www.zillow.com/homedetails/25130597_zpid/
TX,1 bds,3 ba,1004 sqft,4822 sqft,1982,San Diego,91305,"2669 Oak Ave, San Diego, TX 91305","$1,293,272",Pending,https://www.zillow.com/homedetails/22799694_zpid/
IL,4 bds,1 ba,1266 sqft,6554 sqft,1961,San Diego,79089,"1352 Main St, San Diego, IL 79089","$121,941",For Sale,https://www.zillow.com/homedetails/90979067_zpid/
CA,3 bds,2 ba,3080 sqft,2905 sqft,1981,Los Angeles,69291,"1966 Pine Rd, Los Angeles, CA 69291","$1,054,157",For Sale,https://www.zillow.com/homedetails/65001974_zpid/
FL,5 bds,1 ba,2383 sqft,7954 sqft,1995,San Francisco,88366,"593 Main St, San Francisco, FL 88366","$1,064,596",Sold,https://www.zillow.com/homedetails/32697233_zpid/
TX,5 bds,4 ba,659 sqft,9317 sqft,1985,Sacramento,97624,"1732 Pine Rd, Sacramento, TX 97624","$1,301,207",For Sale,https://www.zillow.com/homedetails/32608021_zpid/
FL,1 bds,4 ba,3082 sqft,4211 sqft,1974,San Francisco,87038,"3811 Elm St, San Francisco, FL 87038","$1,429,718",For Sale,https://www.zillow.com/homedetails/14815014_zpid/
CA,1 bds,1 ba,2654 sqft,1426 sqft,1990,Sacramento,71760,"8985 Main St, Sacramento, CA 71760","$570,284",Sold,https://www.zillow.com/homedetails/68902370_zpid/
CA,5 bds,4 ba,3410 sqft,4595 sqft,1988,Los Angeles,60339,"6616 Oak Ave, Los Angeles, CA 60339","$136,498",Pending,https://www.zillow.com/homedetails/34962013_zpid/
CA,4 bds,1 ba,3593 sqft,8559 sqft,2006,San Diego,47852,"9346 Elm St, San Diego, CA 47852","$1,118,129",Pending,https://www.zillow.com/homedetails/24420078_zpid/
NY,5 bds,1 ba,3368 sqft,1942 sqft,1954,Los Angeles,20582,"7692 Elm St, Los Angeles, NY 20582","$348,881",Pending,https://www.zillow.com/homedetails/67235291_zpid/
CA,3 bds,3 ba,1071 sqft,3640 sqft,1965,San Diego,87797,"7234 Oak Ave, San Diego, CA 87797","$1,224,280",For Sale,https://www.zillow.com/homedetails/21741002_zpid/
FL,2 bds,2 ba,2403 sqft,8914 sqft,1955,Los Angeles,17654,"2047 Main St, Los Angeles, FL 17654","$435,555",Pending,https://www.zillow.com/homedetails/99627530_zpid/
NY,2 bds,3 ba,3515 sqft,6385 sqft,2018,Los Angeles,76220,"154 Main St, Los Angeles, NY 76220","$1,142,134",Pending,https://www.zillow.com/homedetails/93410968_zpid/
NY,3 bds,1 ba,1640 sqft,2571 sqft,1950,Sacramento,27909,"9343 Maple Dr, Sacramento, NY 27909","$929,862",Sold,https://www.zillow.com/homedetails/31477708_zpid/
IL,5 bds,1 ba,2551 sqft,3014 sqft,2006,Fresno,52141,"7038 Elm St, Fresno, IL 52141","$557,894",Sold,https://www.zillow.com/homedetails/40555330_zpid/
TX,6 bds,2 ba,2153 sqft,6999 sqft,1977,San Francisco,99388,"8789 Oak Ave, San Francisco, TX 99388","$282,593",Sold,https://www.zillow.com/homedetails/54960619_zpid/
NY,5 bds,4 ba,3539 sqft,9313 sqft,1985,Sacramento,74756,"524 Elm St, Sacramento, NY 74756","$390,371",Pending,https://www.zillow.com/homedetails/51539232_zpid/
TX,2 bds,1 ba,1088 sqft,4186 sqft,1983,Sacramento,36251,"8234 Elm St, Sacramento, TX 36251","$1,103,898",Sold,https://www.zillow.com/homedetails/99412177_zpid/
FL,2 bds,1 ba,3618 sqft,4317 sqft,1998,Fresno,78532,"841 Maple Dr, Fresno, FL 78532","$324,492",Sold,https://www.zillow.com/homedetails/90864559_zpid/
CA,6 bds,4 ba,1647 sqft,6299 sqft,2008,San Francisco,63085,"464 Pine Rd, San Francisco, CA 63085","$442,170",Sold,https://www.zillow.com/homedetails/52606141_zpid/
NY,5 bds,4 ba,2892 sqft,8833 sqft,2002,Los Angeles,23864,"7627 Main St, Los Angeles, NY 23864","$1,081,035",For Sale,https://www.zillow.com/homedetails/53294841_zpid/
TX,5 bds,1 ba,2625 sqft,5667 sqft,1968,Fresno,21440,"2204 Pine Rd, Fresno, TX 21440","$249,975",Sold,https://www.zillow.com/homedetails/31949828_zpid/
IL,1 bds,4 ba,2042 sqft,4863 sqft,1958,San Diego,83545,"522 Main St, San Diego, IL 83545","$754,480",Pending,https://www.zillow.com/homedetails/67571739_zpid/
IL,5 bds,2 ba,3482 sqft,1702 sqft,2011,Los Angeles,39506,"5171 Pine Rd, Los Angeles, IL 39506","$362,957",Sold,https://www.zillow.com/homedetails/36246636_zpid/
IL,3 bds,4 ba,1949 sqft,5913 sqft,1975,San Diego,98587,"3305 Main St, San Diego, IL 98587","$1,387,573",Pending,https://www.zillow.com/homedetails/29097953_zpid/
IL,2 bds,1 ba,3887 sqft,8829 sqft,1957,Fresno,66989,"3106 Oak Ave, Fresno, IL 66989","$1,257,567",Sold,https://www.zillow.com/homedetails/67020386_zpid/
IL,1 bds,3 ba,2977 sqft,3400 sqft,2004,San Diego,55101,"9646 Main St, San Diego, IL 55101","$1,217,931",For Sale,https://www.zillow.com/homedetails/40390099_zpid/
FL,4 bds,3 ba,2199 sqft,3140 sqft,1974,San Diego,35654,"3673 Maple Dr, San Diego, FL 35654","$1,369,617",Pending,https://www.zillow.com/homedetails/62845138_zpid/
FL,6 bds,2 ba,2960 sqft,8344 sqft,2011,Los Angeles,28260,"6206 Main St, Los Angeles, FL 28260","$1,367,380",Sold,https://www.zillow.com/homedetails/12512256_zpid/
CA,3 bds,2 ba,862 sqft,6303 sqft,1972,San Francisco,24367,"905 Main St, San Francisco, CA 24367","$653,513",Pending,https://www.zillow.com/homedetails/12804298_zpid/
IL,1 bds,4 ba,2552 sqft,4272 sqft,1998,Sacramento,37372,"5501 Oak Ave, Sacramento, IL 37372","$1,052,313",Sold,https://www.zillow.com/homedetails/21134887_zpid/
NY,6 bds,1 ba,3504 sqft,3470 sqft,1952,Fresno,10445,"6181 Main St, Fresno, NY 10445","$1,402,065",Sold,https://www.zillow.com/homedetails/87766197_zpid/
TX,2 bds,2 ba,2930 sqft,9853 sqft,1993,Sacramento,11097,"6288 Main St, Sacramento, TX 11097","$258,025",Sold,https://www.zillow.com/homedetails/61602434_zpid/
FL,1 bds,1 ba,2849 sqft,8155 sqft,1952,San Francisco,48078,"3168 Maple Dr, San Francisco, FL 48078","$1,346,411",Sold,https://www.zillow.com/homedetails/52005125_zpid/
TX,5 bds,2 ba,2415 sqft,6387 sqft,1950,Fresno,55038,"5750 Oak Ave, Fresno, TX 55038","$765,276",Pending,https://www.zillow.com/homedetails/37403351_zpid/
NY,1 bds,2 ba,3351 sqft,1858 sqft,1962,Los Angeles,48984,"8073 Maple Dr, Los Angeles, NY 48984","$1,478,929",Sold,https://www.zillow.com/homedetails/18168823_zpid/
FL,2 bds,1 ba,1258 sqft,2818 sqft,1966,Fresno,92471,"1911 Oak Ave, Fresno, FL 92471","$616,741",Pending,https://www.zillow.com/homedetails/98621713_zpid/
CA,4 bds,1 ba,787 sqft,5227 sqft,1999,San Francisco,93992,"2771 Main St, San Francisco, CA 93992","$1,089,190",For Sale,https://www.zillow.com/homedetails/99214969_zpid/
IL,6 bds,1 ba,2342 sqft,5419 sqft,1984,Sacramento,94674,"2973 Maple Dr, Sacramento, IL 94674","$733,862",For Sale,https://www.zillow.com/homedetails/21392259_zpid/
NY,3 bds,1 ba,2761 sqft,9262 sqft,1960,San Diego,60724,"4172 Pine Rd, San Diego, NY 60724","$367,764",For Sale,https://www.zillow.com/homedetails/82806416_zpid/
IL,1 bds,4 ba,3887 sqft,3596 sqft,2000,Sacramento,80299,"4942 Maple Dr, Sacramento, IL 80299","$890,978",For Sale,https://www.zillow.com/homedetails/42067503_zpid/
CA,1 bds,3 ba,2093 sqft,1094 sqft,1977,San Francisco,63039,"7283 Pine Rd, San Francisco, CA 63039","$139,928",Pending,https://www.zillow.com/homedetails/93007422_zpid/
NY,1 bds,1 ba,903 sqft,6122 sqft,2006,Los Angeles,88108,"1976 Maple Dr, Los Angeles, NY 88108","$574,704",For Sale,https://www.zillow.com/homedetails/69761172_zpid/
IL,5 bds,2 ba,3693 sqft,9896 sqft,1951,Fresno,64486,"9341 Oak Ave, Fresno, IL 64486","$454,473",For Sale,https://www.zillow.com/homedetails/80566392_zpid/
IL,3 bds,1 ba,3527 sqft,3201 sqft,2008,Sacramento,85891,"8859 Pine Rd, Sacramento, IL 85891","$548,614",For Sale,https://www.zillow.com/homedetails/69861230_zpid/
CA,1 bds,4 ba,1224 sqft,3876 sqft,2001,Sacramento,61514,"8545 Pine Rd, Sacramento, CA 61514","$741,710",Sold,https://www.zillow.com/homedetails/70258640_zpid/
CA,5 bds,4 ba,2543 sqft,7979 sqft,2001,San Francisco,84532,"9922 Oak Ave, San Francisco, CA 84532","$1,300,809",For Sale,https://www.zillow.com/homedetails/41247190_zpid/
CA,5 bds,1 ba,3638 sqft,2063 sqft,2017,Los Angeles,66497,"8940 Pine Rd, Los Angeles, CA 66497","$347,172",Sold,https://www.zillow.com/homedetails/32269306_zpid/
CA,1 bds,3 ba,1069 sqft,3385 sqft,2010,Fresno,46631,"3857 Maple Dr, Fresno, CA 46631","$843,750",For Sale,https://www.zillow.com/homedetails/30002415_zpid/
TX,4 bds,4 ba,2669 sqft,3606 sqft,1958,San Diego,87642,"1117 Oak Ave, San Diego, TX 87642","$833,347",Sold,https://www.zillow.com/homedetails/48981879_zpid/
TX,5 bds,3 ba,1012 sqft,6279 sqft,1954,San Diego,55033,"4328 Pine Rd, San Diego, TX 55033","$1,440,759",Sold,https://www.zillow.com/homedetails/85637983_zpid/
NY,6 bds,4 ba,1741 sqft,5632 sqft,1970,San Diego,59136,"9353 Elm St, San Diego, NY 59136","$1,100,894",Pending,https://www.zillow.com/homedetails/11680183_zpid/
IL,5 bds,4 ba,734 sqft,1972 sqft,2006,San Francisco,80680,"2287 Main St, San Francisco, IL 80680","$671,356",Pending,https://www.zillow.com/homedetails/89067194_zpid/
IL,4 bds,2 ba,3407 sqft,3199 sqft,2009,Los Angeles,55266,"5875 Maple Dr, Los Angeles, IL 55266","$1,194,026",For Sale,https://www.zillow.com/homedetails/71566882_zpid/
IL,5 bds,3 ba,1232 sqft,3758 sqft,1976,Los Angeles,85581,"5539 Elm St, Los Angeles, IL 85581","$258,887",Pending,https://www.zillow.com/homedetails/90097222_zpid/
NY,3 bds,4 ba,2665 sqft,4095 sqft,2020,San Francisco,35785,"7245 Main St, San Francisco, NY 35785","$204,548",For Sale,https://www.zillow.com/homedetails/10012926_zpid/
IL,5 bds,1 ba,823 sqft,4310 sqft,2021,Fresno,26151,"443 Pine Rd, Fresno, IL 26151","$1,167,370",For Sale,https://www.zillow.com/homedetails/37361488_zpid/
NY,4 bds,2 ba,3944 sqft,7637 sqft,1983,Sacramento,86748,"3387 Main St, Sacramento, NY 86748","$1,009,558",Sold,https://www.zillow.com/homedetails/26796472_zpid/
CA,2 bds,4 ba,3037 sqft,9989 sqft,1956,Sacramento,23389,"3492 Pine Rd, Sacramento, CA 23389","$1,256,611",Sold,https://www.zillow.com/homedetails/49418562_zpid/
IL,2 bds,4 ba,2796 sqft,7855 sqft,1969,San Francisco,97204,"1157 Pine Rd, San Francisco, IL 97204","$439,407",Sold,https://www.zillow.com/homedetails/10261704_zpid/
FL,4 bds,3 ba,2671 sqft,8290 sqft,1967,San Francisco,28572,"4143 Main St, San Francisco, FL 28572","$115,004",For Sale,https://www.zillow.com/homedetails/97808016_zpid/
NY,4 bds,3 ba,1540 sqft,4699 sqft,1962,Los Angeles,94493,"7772 Maple Dr, Los Angeles, NY 94493","$204,351",Sold,https://www.zillow.com/homedetails/66627268_zpid/
CA,5 bds,3 ba,3428 sqft,3914 sqft,2015,San Francisco,99466,"8632 Main St, San Francisco, CA 99466","$231,952",Sold,https://www.zillow.com/homedetails/87998585_zpid/
CA,6 bds,3 ba,2284 sqft,4615 sqft,1964,Sacramento,79802,"452 Elm St, Sacramento, CA 79802","$1,451,974",Pending,https://www.zillow.com/homedetails/53014471_zpid/
CA,5 bds,3 ba,1506 sqft,3116 sqft,2004,Sacramento,97567,"865 Maple Dr, Sacramento, CA 97567","$970,820",Sold,https://www.zillow.com/homedetails/15525784_zpid/
TX,4 bds,2 ba,2154 sqft,9985 sqft,1971,San Francisco,93091,"9729 Main St, San Francisco, TX 93091","$327,979",Pending,https://www.zillow.com/homedetails/42028923_zpid/
IL,5 bds,3 ba,3518 sqft,5620 sqft,2002,Fresno,69229,"5556 Pine Rd, Fresno, IL 69229","$1,277,005",Pending,https://www.zillow.com/homedetails/38769368_zpid/
NY,5 bds,3 ba,2666 sqft,5243 sqft,1995,San Diego,94614,"4212 Main St, San Diego, NY 94614","$1,411,376",For Sale,https://www.zillow.com/homedetails/34103637_zpid/
IL,3 bds,1 ba,3411 sqft,6632 sqft,1956,San Diego,67157,"3726 Maple Dr, San Diego, IL 67157","$603,748",For Sale,https://www.zillow.com/homedetails/19035747_zpid/
NY,5 bds,3 ba,1628 sqft,2454 sqft,2002,Sacramento,23470,"4533 Oak Ave, Sacramento, NY 23470","$1,388,656",Pending,https://www.zillow.com/homedetails/97744318_zpid/
NY,6 bds,2 ba,3167 sqft,9130 sqft,1957,Fresno,98601,"7296 Oak Ave, Fresno, NY 98601","$190,705",Sold,https://www.zillow.com/homedetails/14969714_zpid/
NY,1 bds,3 ba,3060 sqft,4666 sqft,1974,Sacramento,39637,"6411 Pine Rd, Sacramento, NY 39637","$878,059",For Sale,https://www.zillow.com/homedetails/19382279_zpid/
CA,5 bds,2 ba,1800 sqft,8145 sqft,1987,San Diego,76613,"1316 Pine Rd, San Diego, CA 76613","$581,015",For Sale,https://www.zillow.com/homedetails/82729700_zpid/
CA,2 bds,3 ba,1809 sqft,2168 sqft,1988,San Francisco,48137,"8115 Elm St, San Francisco, CA 48137","$1,129,910",For Sale,https://www.zillow.com/homedetails/84916192_zpid/
NY,6 bds,2 ba,3061 sqft,8290 sqft,2000,San Diego,80136,"6791 Oak Ave, San Diego, NY 80136","$1,122,084",Sold,https://www.zillow.com/homedetails/21817421_zpid/
FL,3 bds,1 ba,2988 sqft,7286 sqft,2017,Los Angeles,42568,"1064 Main St, Los Angeles, FL 42568","$903,726",Pending,https://www.zillow.com/homedetails/89400849_zpid/
IL,3 bds,1 ba,2897 sqft,9444 sqft,1997,Los Angeles,32340,"1518 Oak Ave, Los Angeles, IL 32340","$242,071",Pending,https://www.zillow.com/homedetails/25743431_zpid/
CA,4 bds,2 ba,3524 sqft,3925 sqft,1955,Los Angeles,30265,"5562 Main St, Los Angeles, CA 30265","$208,486",Sold,https://www.zillow.com/homedetails/75475550_zpid/
NY,6 bds,1 ba,963 sqft,5769 sqft,2008,San Francisco,88019,"843 Oak Ave, San Francisco, NY 88019","$860,219",For Sale,https://www.zillow.com/homedetails/96659884_zpid/
TX,6 bds,4 ba,2701 sqft,9476 sqft,1995,San Diego,63640,"1429 Main St, San Diego, TX 63640","$215,904",Sold,https://www.zillow.com/homedetails/56060547_zpid/
CA,5 bds,2 ba,904 sqft,9151 sqft,1956,Sacramento,72385,"964 Main St, Sacramento, CA 72385","$1,355,937",Sold,https://www.zillow.com/homedetails/40199580_zpid/
NY,1 bds,1 ba,2107 sqft,6485 sqft,2012,Fresno,47843,"1395 Elm St, Fresno, NY 47843","$100,866",Sold,https://www.zillow.com/homedetails/30581753_zpid/
IL,1 bds,4 ba,2573 sqft,6461 sqft,2022,San Francisco,63077,"2385 Main St, San Francisco, IL 63077","$1,131,957",Pending,https://www.zillow.com/homedetails/92015331_zpid/
CA,2 bds,1 ba,3733 sqft,1332 sqft,1960,San Diego,32946,"2130 Oak Ave, San Diego, CA 32946","$441,645",Sold,https://www.zillow.com/homedetails/18950527_zpid/
FL,5 bds,1 ba,3232 sqft,2119 sqft,2019,Los Angeles,24352,"9703 Elm St, Los Angeles, FL 24352","$1,296,346",For Sale,https://www.zillow.com/homedetails/14001693_zpid/
IL,6 bds,3 ba,1624 sqft,1726 sqft,1972,Sacramento,32785,"7322 Oak Ave, Sacramento, IL 32785","$162,697",For Sale,https://www.zillow.com/homedetails/46928623_zpid/
IL,3 bds,4 ba,2722 sqft,8216 sqft,1998,Los Angeles,39301,"2986 Main St, Los Angeles, IL 39301","$233,832",Pending,https://www.zillow.com/homedetails/39485675_zpid/
CA,2 bds,3 ba,1009 sqft,8969 sqft,2022,Fresno,28333,"4835 Maple Dr, Fresno, CA 28333","$946,472",Sold,https://www.zillow.com/homedetails/92798365_zpid/
FL,3 bds,1 ba,3584 sqft,1287 sqft,1968,Fresno,63885,"3637 Pine Rd, Fresno, FL 63885","$339,864",Sold,https://www.zillow.com/homedetails/90340529_zpid/
CA,5 bds,3 ba,939 sqft,9095 sqft,1982,San Diego,79681,"3546 Oak Ave, San Diego, CA 79681","$996,664",For Sale,https://www.zillow.com/homedetails/93999179_zpid/
FL,2 bds,4 ba,1845 sqft,3851 sqft,1998,Sacramento,96050,"6259 Pine Rd, Sacramento, FL 96050","$891,575",Sold,https://www.zillow.com/homedetails/68413603_zpid/
CA,6 bds,1 ba,803 sqft,6903 sqft,2010,San Francisco,11339,"4733 Pine Rd, San Francisco, CA 11339","$725,711",For Sale,https://www.zillow.com/homedetails/84820774_zpid/
NY,1 bds,3 ba,2972 sqft,5735 sqft,1955,Fresno,36556,"3551 Pine Rd, Fresno, NY 36556","$644,055",Sold,https://www.zillow.com/homedetails/22737175_zpid/
TX,5 bds,2 ba,2880 sqft,2593 sqft,1981,Fresno,95106,"9227 Maple Dr, Fresno, TX 95106","$493,145",Sold,https://www.zillow.com/homedetails/44218389_zpid/
